Frequency,DB(MAG(V(BP_out))),MAG(V(BP_out)),
0.001,-75.63071415999835,0.0001653728808427384,
0.0012589254117941673,-73.63071423168279,0.00020819212039632784,
0.0015848931924611134,-71.63071434529495,0.00026209834747397955,
0.00199526231496888,-69.63071452535807,0.0003299622631839564,
0.0025118864315095803,-67.6307148107389,0.00041539786440721754,
0.0031622776601683794,-65.63071526303699,0.000522954900275578,
0.0039810717055349725,-63.63071597988106,0.0006583611588448434,
0.005011872336272723,-61.6307171160021,0.0008288274845967495,
0.006309573444801933,-59.630718916632055,0.0010434317660434503,
0.007943282347242816,-57.63072177043676,0.001313602334152829,
0.01,-55.630726293408806,0.0016537264983178593,
0.012589254117941671,-53.63073346182733,0.002081916594694333,
0.015848931924611134,-51.63074482298227,0.002620974278056667,
0.019952623149688795,-49.630762829142185,0.003299604282099622,
0.0251188643150958,-47.63079136683865,0.004153942031702547,
0.03162277660168379,-45.63083659567843,0.0052294759520276745,
0.03981071705534973,-43.630908277651635,0.006583465834833147,
0.05011872336272723,-41.631021883644685,0.008287984034804113,
0.06309573444801933,-39.63120193128712,0.010433737433373691,
0.07943282347242815,-37.631487273196754,0.013134865691656648,
0.1,-35.631939473547945,0.016534955342919298,
0.12589254117941673,-33.63265607214945,0.020814558161746422,
0.15848931924611134,-31.633791576753236,0.026200550788463124,
0.19952623149688797,-29.635590658770457,0.03297770791038018,
0.251188643150958,-27.638440577304422,0.04150285481680208,
0.31622776601683794,-25.642953795872046,0.05222185688094597,
0.39810717055349726,-23.650097747163482,0.06568937240429974,
0.5011872336272722,-21.66139757166083,0.082590504962034,
0.6309573444801932,-19.679250185122687,0.1037617984976025,
0.7943282347242815,-17.707404198034787,0.13020563805638918,
1,-15.751677152493501,0.16308579775716317,
1.2589254117941673,-13.820988772942988,0.2036810200772543,
1.5848931924611134,-11.92875899536002,0.25325734532434435,
1.9952623149688795,-10.094594986131247,0.3128025254219737,
2.51188643150958,-8.34588338704413,0.38256552479099737,
3.1622776601683795,-6.718357756002032,0.46140480427127,
3.9810717055349727,-5.254131852377014,0.5461266972035527,
5.011872336272723,-3.9958699711110364,0.6312574279254773,
6.3095734448019325,-2.9778163598724072,0.7097561788500992,
7.943282347242815,-2.2179057403227,0.7746485512301545,
10,-1.7165566880552117,0.8206768174291342,
12.589254117941673,-1.463833659350128,0.8449058498469558,
15.848931924611135,-1.4504782094865756,0.846205978891517,
19.952623149688797,-1.6759081138931513,0.8245264544809847,
25.118864315095802,-2.148689843083338,0.7808462120595425,
31.622776601683793,-2.8792354874679833,0.7178574726960741,
39.81071705534973,-3.868779937319434,0.6405617516972764,
50.11872336272723,-5.101464331384387,0.5558105467270994,
63.09573444801932,-6.544565546740092,0.47072983258054746,
79.43282347242815,-8.155889365774543,0.3910259066843168,
100,-9.892892439759775,0.320151379880883,
125.89254117941672,-11.71896134000009,0.2594489593028636,
158.48931924611134,-13.605766049540053,0.2087909630709593,
199.52623149688796,-15.532894809079897,0.16724581513158762,
251.188643150958,-17.486318674418357,0.13356235446367648,
316.22776601683796,-19.456687931252535,0.10645488703641387,
398.10717055349727,-21.43789401165425,0.08474328585403931,
501.1872336272723,-23.425996421516732,0.06740625188446932,
630.9573444801932,-25.41847378159425,0.05358908118950437,
794.3282347242815,-27.41372104548758,0.04259061857761335,
1000,-29.410719815061533,0.03384262247233953,
1258.9254117941673,-31.408825259566793,0.026888014707811693,
1584.8931924611136,-33.407629629027134,0.021360849420505968,
1995.2623149688795,-35.406875320514935,0.016968999386835788,
2511.8864315095802,-37.40639970518244,0.013479693418565144,
3162.2776601683795,-39.406100196497114,0.010707670295581579,
3981.0717055349724,-41.405912175330215,0.008505588960151746,
5011.872336272723,-43.40579506914907,0.006756320554454142,
6309.573444801932,-45.4057236052724,0.005366780334699164,
7943.282347242815,-47.40568236007068,0.004263005392372662,
10000,-49.40566243148394,0.00338623331718413,
12589.254117941671,-51.40565951817976,0.0026897816353736153,
15848.931924611135,-53.40567299134828,0.0021365661840704086,
19952.623149688796,-55.40570575899916,0.0016971284429092813,
25118.8643150958,-57.40576489349225,0.0013480678623308082,
31622.776601683792,-59.4058631576052,0.0010707962513079252,
39810.71705534973,-61.40602175808061,0.0008505481652784132,
50118.72336272723,-63.406274919820426,0.0006755947312847569,
63095.73444801933,-65.40667726507507,0.0005366191126001977,
79432.82347242815,-67.40731558290648,0.0004262203887459813,
100000,-69.40832751048657,0.0003385194483474528,
125892.54117941672,-71.40993111123063,0.0002688459165452571,
158489.31924611135,-73.41247161548819,0.0002134894504169145,
199526.23149688795,-75.4164951155582,0.00016950216286712978,
251188.643150958,-77.42286437950226,0.0001345416597642574,
316227.7660168379,-79.43293993259594,0.00010674634246405243,
398107.1705534973,-81.44886090902628,0.00008463635559270243,
501187.2336272723,-83.47397502478502,0.00006703494366779052,
630957.3444801932,-85.51348311275135,0.00005300609912139252,
794328.2347242815,-87.57537219254606,0.0000418053044319812,
1000000,-89.67168822049183,0.000032840940727566745,
1258925.4117941672,-91.82009381090273,0.000025644563392669577,
1584893.1924611134,-94.0453817914972,0.00001984864710840271,
1995262.3149688796,-96.38009969258049,0.000015170329555643826,
2511886.43150958,-98.86281516699633,0.000011398802832769767,
3162277.6601683795,-101.53249155054976,0.000008382535907890693,
3981071.7055349727,-104.41909104037718,0.000006012366523105967,
5011872.336272723,-107.53394255168487,0.000004200518216020731,
6309573.444801932,-110.86557582424595,0.0000028623399281184225,
7943282.347242815,-114.38393750193465,0.0000019089876769194132,
10000000,-118.05003981130452,0.0000012516935359490745,
12589254.117941672,-121.82534047774992,8.104625955758023e-7,
15848931.924611134,-125.67733962489204,5.201552889423574e-7,
19952623.149688795,-129.58129374952853,3.3184502607936985e-7,
25118864.3150958,-133.5195814364187,2.108729764880387e-7,
31622776.60168379,-137.4801875070358,1.3365666630416572e-7,
39810717.05534972,-141.45514649156155,8.457513027450019e-8,
50118723.362727225,-145.4392720641768,5.346091613538762e-8,
63095734.448019326,-149.4292260396042,3.377059387523669e-8,
79432823.47242814,-153.42287544887571,2.1323388891549124e-8,
100000000,-157.41886371362529,1.3460364307597626e-8,