Frequency,DB(MAG(V(HP_out))),MAG(V(HP_out)),
0.001,-75.63068505765706,0.00016537343493060755,
0.0012589254117941673,-73.63068512712628,0.00020819281800471762,
0.0015848931924611134,-71.63068523722755,0.00026209922581683936,
0.00199526231496888,-69.63068541172632,0.0003299633691634618,
0.0025118864315095803,-67.6306856882882,0.00041539925717463846,
0.0031622776601683794,-65.6306861266092,0.0005229566545073119,
0.0039810717055349725,-63.630686821301104,0.0006583633689706348,
0.005011872336272723,-61.63068792231333,0.0008288302703300836,
0.006309573444801933,-59.63068966729953,0.0010434352797576863,
0.007943282347242816,-57.630692432914856,0.0013136067709928006,
0.01,-55.63069681611614,0.0016537321105769035,
0.012589254117941671,-53.630703763012974,0.0020819237132006386,
0.015848931924611134,-51.6307147730797,0.002620983345654946,
0.019952623149688795,-49.630732222802344,0.003299615908886527,
0.0251188643150958,-47.63075987860534,0.0041539570906704145,
0.03162277660168379,-45.6308037097385,0.0052294957515605645,
0.03981071705534973,-43.630873176496934,0.0065834924397900705,
0.05011872336272723,-41.630983271613495,0.008288020878077828,
0.06309573444801933,-39.63115775489749,0.010433790499443102,
0.07943282347242815,-37.63143427790789,0.01313494583176365,
0.1,-35.63187250128243,0.01653508283563851,
0.12589254117941673,-33.632566947960925,0.020814771736889587,
0.15848931924611134,-31.633667344364177,0.026200925531918568,
0.19952623149688797,-29.635410784214738,0.032978390846985124,
0.251188643150958,-27.63817251731779,0.04150413567884891,
0.31622776601683794,-25.642545975064124,0.052224308864649745,
0.39810717055349726,-23.649468429593878,0.06569413195980078,
0.5011872336272722,-21.660417228519826,0.08259982716250139,
0.6309573444801932,-19.677713562054006,0.10378015664906741,
0.7943282347242815,-17.704986076623335,0.13024189189859295,
1,-15.74786231675381,0.16315744063990312,
1.2589254117941673,-13.814961213879439,0.2038224132457571,
1.5848931924611134,-11.919226813841119,0.2535354308430047,
1.9952623149688795,-10.079514138947681,0.3133460995259718,
2.51188643150958,-8.322022992981807,0.3836178883038904,
3.1622776601683795,-6.680618971720024,0.4634138948731879,
3.9810717055349727,-5.19448774651246,0.5498897350714731,
5.011872336272723,-3.9017330181112926,0.638136151871622,
6.3095734448019325,-2.8295669675846105,0.7219741558443304,
7.943282347242815,-1.9852515328719136,0.7956781339288832,
10,-1.3534018983864022,0.8557164978457404,
12.589254117941673,-0.9015611835074407,0.9014091056708439,
15.848931924611135,-0.5902120134689446,0.9343065625343329,
19.952623149688797,-0.3816208112419664,0.9570154728743632,
25.118864315095802,-0.2446596748604186,0.9722255189917347,
31.622776601683793,-0.1559664350546744,0.9822039543046707,
39.81071705534973,-0.09905821103338254,0.9886602867709908,
50.11872336272723,-0.06276403043067336,0.9928000685522913,
63.09573444801932,-0.03970689686107465,0.9954390076211672,
79.43282347242815,-0.025095590642048447,0.9971149331817447,
100,-0.015851121987198912,0.9981767363086159,
125.89254117941672,-0.010008115382368907,0.9988484366940721,
158.48931924611134,-0.006317378506524327,0.999272949350704,
199.52623149688796,-0.003987066115764955,0.9995410773870642,
251.188643150958,-0.0025160947737454514,0.9997103658361458,
316.22776601683796,-0.0015877181844893842,0.999817223894414,
398.10717055349727,-0.0010018500286247103,0.9998846644045949,
501.1872336272723,-0.0006321515429630987,0.9999272235123701,
630.9573444801932,-0.0003988713742910125,0.9999540792903648,
794.3282347242815,-0.0002516750908943539,0.9999710252541475,
1000,-0.00015879794776140057,0.9999817178777544,
1258.9254117941673,-0.0001001954101622022,0.9999884646436414,
1584.8931924611136,-0.00006321930178025793,0.999992721635394,
1995.2623149688795,-0.000039888792642601994,0.9999954076435791,
2511.8864315095802,-0.00002516817206247378,0.9999971024113076,
3162.2776601683795,-0.000015880062718847416,0.9999981717418867,
3981.0717055349724,-0.000010019651692979595,0.9999988464456341,
5011.872336272723,-0.00000632197824450967,0.9999992721556217,
6309.573444801932,-0.000003988902404850427,0.9999995407607447,
7943.282347242815,-0.000002516830424080975,0.9999997102392312,
10000,-0.0000015880155386797839,0.9999998171729714,
12589.254117941671,-0.0000010019728628383802,0.9999998846436178,
15848.931924611135,-6.322048920812689e-7,0.9999999272147246,
19952.623149688796,-3.988970580075138e-7,0.9999999540752801,
25118.8643150958,-2.5168976075090914e-7,0.9999999710231459,
31622.776601683792,-1.588082336215018e-7,0.9999999817165266,
39810.71705534973,-1.002039503713951e-7,0.999999988463594,
50118.72336272723,-6.322714601151305e-8,0.9999999927207058,
63095.73444801933,-3.989635951096478e-8,0.9999999954067619,
79432.82347242815,-2.5175627774214236e-8,0.9999999971015487,
100000,-1.5887473426576708e-8,0.999999998170887,
125892.54117941672,-1.0027041322892454e-8,0.9999999988455942,
158489.31924611135,-6.329356578736316e-9,0.9999999992713059,
199526.23149688795,-3.9962713837177275e-9,0.9999999995399123,
251188.643150958,-2.5241878967003963e-9,0.9999999997093921,
316227.7660168379,-1.595355395315739e-9,0.9999999998163279,
398107.1705534973,-1.0092853774301064e-9,0.9999999998838017,
501187.2336272723,-6.394754372464877e-10,0.9999999999263777,
630957.3444801932,-4.061014400342799e-10,0.9999999999532458,
794328.2347242815,-2.5879174056542814e-10,0.9999999999702055,
1000000,-1.6575439091755985e-10,0.9999999999809168,
1258925.4117941672,-1.0691691487235408e-10,0.9999999999876907,
1584893.1924611134,-6.960033489876235e-11,0.999999999991987,
1995262.3149688796,-4.579687571420289e-11,0.9999999999947274,
2511886.43150958,-3.045442572127274e-11,0.9999999999964938,
3162277.6601683795,-2.04099908296243e-11,0.9999999999976502,
3981071.7055349727,-1.3713700901865122e-11,0.9999999999984212,
5011872.336272723,-9.179433154125589e-12,0.9999999999989432,
6309573.444801932,-6.09165660621925e-12,0.9999999999992987,
7943282.347242815,-3.998101676330848e-12,0.9999999999995397,
10000000,-2.59693386742839e-12,0.999999999999701,
12589254.117941672,-1.6721438270035607e-12,0.9999999999998075,
15848931.924611134,-1.0704034878742146e-12,0.9999999999998768,
19952623.149688795,-6.817795188532007e-13,0.9999999999999215,
25118864.3150958,-4.320187050158833e-13,0.9999999999999503,
31622776.60168379,-2.7386900050113786e-13,0.9999999999999685,
39810717.05534972,-1.716502890464868e-13,0.9999999999999802,
50118723.362727225,-1.0993333118707543e-13,0.9999999999999873,
63095734.448019326,-6.943157759183694e-14,0.999999999999992,
79432823.47242814,-4.3394735994898024e-14,0.999999999999995,
100000000,-2.7001169063492082e-14,0.9999999999999969,